Culture de céréales (à l'exception du riz)
Culture du riz
"Culture de légumes, de melons, de racines et de tubercules"
Culture de la canne à sucre
Culture du tabac
Culture de plantes à fibres
Culture de fourrages
Culture de légumineuses et de graines oléagineuses
Horticulture et autres cultures non permanentes
Culture de la vigne
Culture de palmiers-dattiers et d'autres fruits tropicaux et subtropicaux
Culture d'agrumes
Culture de fruits à pépins et à noyau
Culture d'oliviers et autres fruits oléagineux
Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
Cultures de plantes à boissons
"Cultures de plantes à épices,  aromatiques, médicinales et"
Autres cultures permanentes
Pépinières
Élevage de bovins
Élevage de chevaux et d'autres équidés
Élevage de chameaux et d'autres camélidés
Élevage d'ovins et de caprins
Élevage de volailles
Élevage d'autres animaux
Culture et élevage associés
Activités de soutien aux cultures
Activités de soutien à la production animale
Traitement primaire des récoltes
Traitement des semences
"Chasse, piégeage et services annexes"
Sylviculture et autres activités forestières
Exploitation forestière
Récolte du liège
Récolte de l'alfa et d'autres produits forestiers non ligneux poussant à
Services de soutien à l'exploitation forestière
Pêche en mer
Pêche en eau douce
Aquaculture en mer
Aquaculture en eau douce
Extraction de houille
Extraction de lignite
Extraction de pétrole brut
Extraction de gaz naturel
Extraction de minerais de fer
Extraction de minerais d'uranium et de thorium
Extraction d'autres minerais de métaux non ferreux
"Extraction de pierres ornementales et de construction, de calcaire"
"Exploitation de gravières et sablières, extraction d'argiles et de kaolin"
Extraction de phosphates naturels
Extraction de tourbe
Production de sel
Autres activités extractives n.c.a.
Activités de soutien à l'extraction d'hydrocarbures
Activités de soutien aux autres industries extractives
Transformation et conservation de la viande de boucherie
Transformation et conservation de la viande de volaille
Préparation de produits à base de viande
"Transformation et conservation de poisson, de crustacés et de"
Transformation et conservation de pommes de terre
Transformation et conservation de tomates
Préparation de jus de fruits et légumes
Transformation et conservation d'autres fruits et légumes
Fabrication d'huiles d'olives
Fabrication d'autres huiles et graisses
Fabrication de margarine et graisses comestibles similaires
Fabrication de lait liquide et autres produits frais
Fabrication de fromages
Fabrication d'autres produits laitiers
Fabrication de glaces et sorbets
Travail des grains
Fabrication de produits amylacés
Boulangerie et boulangerie-pâtisserie
Pâtisserie fraiche exclusive
Fabrication de confiserie traditionnelle
"Fabrication de biscuits, biscottes et pâtisseries de conservation"
Fabrication de pâtes alimentaires et couscous
Fabrication de sucre
"Fabrication de cacao, chocolat et de produits de confiserie"
Transformation du thé et du café
Fabrication de condiments et assaisonnements
Fabrication de plats préparés
Fabrication d'aliments homogénéisés et diététiques
Fabrication d'autres produits alimentaires n.c.a.
